null;BASICA;null
null;MEDIA;null
null;1ER AÑO;null
null;TÉCNICO SUPERIOR;null
null;TÉCNICO MEDIO;null
null;INGENIERO;null
null;LICENCIADO;null
null;ESPECIALISTA;null
null;MAESTRÍA;null
null;DOCTORADO;null
null;POSTDOCTORADO;null
null;ABOGADO;null
null;BACHILLER EN CIENCIAS;null
null;MEDICO CIRUJANO;null
null;3ER AÑO;null
